Date,H15T1M,H15T3M,H15T6M,H15T1Y,H15T2Y,H15T3Y,H15T5Y,H15T7Y,H15T10Y,H15T20Y,H15T30Y
1/2/2009,0.04,0.08,0.28,0.4,0.88,1.14,1.72,2.07,2.46,3.22,2.83
1/5/2009,0.05,0.14,0.32,0.43,0.78,1.08,1.67,2.07,2.49,3.37,3
1/6/2009,0.05,0.14,0.31,0.45,0.8,1.1,1.68,2.07,2.51,3.41,3.04
1/7/2009,0.03,0.11,0.29,0.44,0.82,1.15,1.66,2.02,2.52,3.41,3.05
1/8/2009,0.04,0.09,0.28,0.44,0.83,1.16,1.6,1.95,2.47,3.4,3.04
1/9/2009,0.03,0.07,0.28,0.43,0.75,1.11,1.51,1.88,2.43,3.39,3.04
1/12/2009,0.04,0.12,0.29,0.43,0.74,1.09,1.45,1.81,2.34,3.3,2.99
1/13/2009,0.02,0.11,0.29,0.43,0.76,1.07,1.44,1.8,2.33,3.3,3
1/14/2009,0.07,0.12,0.28,0.42,0.73,1.03,1.36,1.71,2.24,3.17,2.89
1/15/2009,0.03,0.11,0.29,0.42,0.73,1.01,1.36,1.71,2.23,3.16,2.86
1/16/2009,0.04,0.12,0.29,0.43,0.73,1.05,1.47,1.83,2.36,3.22,2.89
1/20/2009,0.04,0.13,0.3,0.42,0.73,1.06,1.48,1.85,2.4,3.3,2.97
1/21/2009,0.03,0.11,0.3,0.43,0.78,1.12,1.6,1.99,2.56,3.51,3.15
1/22/2009,0.03,0.1,0.29,0.42,0.75,1.11,1.61,2.02,2.62,3.61,3.25
1/23/2009,0.03,0.11,0.3,0.46,0.83,1.16,1.64,2.05,2.65,3.65,3.32
1/26/2009,0.02,0.14,0.34,0.47,0.85,1.21,1.67,2.09,2.7,3.71,3.39
1/27/2009,0.05,0.13,0.32,0.47,0.87,1.15,1.59,1.99,2.59,3.57,3.26
1/28/2009,0.08,0.19,0.33,0.48,0.89,1.22,1.7,2.1,2.71,3.73,3.44
1/29/2009,0.14,0.23,0.35,0.51,0.95,1.34,1.87,2.28,2.87,3.85,3.57
1/30/2009,0.15,0.24,0.36,0.51,0.94,1.32,1.85,2.27,2.87,3.86,3.58
2/2/2009,0.19,0.27,0.39,0.51,0.89,1.27,1.75,2.16,2.76,3.75,3.47
2/3/2009,0.28,0.32,0.4,0.53,0.96,1.37,1.88,2.28,2.89,3.88,3.64
2/4/2009,0.26,0.3,0.4,0.53,0.98,1.42,1.91,2.32,2.95,3.88,3.65
2/5/2009,0.21,0.29,0.43,0.54,0.98,1.4,1.89,2.32,2.95,3.86,3.63
