seq,px,sz,cnt,vlm
245,43.27,100,24,3200
246,43.28,100,20,17900
247,43.3,100,83,1100
248,43.3,100,11,26422
249,43.36,100,149,5800
250,43.35,300,35,19455
251,43.4,300,87,13183
252,43.43,100,59,19700
253,43.45,200,88,26815
254,43.5,500,110,6012
255,43.5,100,26,11600
256,43.5,400,54,11425
257,43.55,100,65,21634
258,43.52,100,117,19843
259,43.51,144,100,16474
260,43.51,300,89,37780
261,43.48,100,181,20375
262,43.46,200,79,13245
263,43.43,200,73,21075
264,43.43,100,105,2700
265,43.44,400,20,6588
266,43.47,350,26,6150
267,43.49,200,33,12969
268,43.49,100,49,5110
269,43.49,100,31,100
270,43.48,100,1,9880
271,43.52,700,48,7806
272,43.53,300,37,8350
273,43.54,200,34,6800
274,43.54,300,26,15190
275,43.5,400,71,3300
276,43.49,100,18,0
277,43.49,100,0,3100
278,43.49,200,15,6147
279,43.48,200,33,13625
280,43.41,100,78,25141
281,43.39,100,115,15250
282,43.35,100,70,21217
283,43.33,200,112,21460
284,43.32,100,128,28077
285,43.33,200,111,16320
286,43.34,100,69,8000
287,43.36,100,38,16057
288,43.34,100,88,5361
289,43.33,100,28,28788
290,43.32,100,166,14857
291,43.31,100,26,13884
292,43.29,100,69,8700
293,43.31,100,35,12450
294,43.34,900,55,10460
295,43.37,100,39,12277
296,43.38,100,52,1000
297,43.37,100,10,3392
298,43.38,100,17,7780
299,43.39,200,38,3260
300,43.37,100,18,9700
301,43.38,133,48,896
302,43.37,200,5,9258
303,43.42,100,35,13900
304,43.44,100,68,15124
305,43.44,100,54,5000
306,43.44,100,25,3200
307,43.44,100,18,6675
308,43.48,100,46,8504
309,43.48,100,49,19589
310,43.49,100,104,15200
311,43.51,200,64,4267
312,43.5,133,29,2359
313,43.49,100,14,14748
314,43.5,300,72,3700
315,43.53,200,17,14952
316,43.58,100,71,3800
317,43.58,100,24,18300
318,43.59,100,84,23506
319,43.63,100,129,12952
320,43.65,400,34,23884
321,43.67,100,74,4199
322,43.67,100,19,24081
323,43.63,100,115,24431
324,43.63,115,136,4715
325,43.62,164,23,6461
326,43.6,200,31,3200
327,43.58,300,21,14500
328,43.58,300,73,7360
329,43.61,300,43,16350
330,43.58,100,65,22454
331,43.55,100,93,5512
332,43.54,220,36,11920
333,43.53,100,63,6290
334,43.51,100,29,29906
335,43.57,200,127,7297
336,43.6,900,46,12776
337,43.63,100,54,12436
338,43.6,600,59,2100
339,43.59,100,12,11900
340,43.57,218,70,14218
341,43.6,100,63,1913
342,43.6,100,15,13109
343,43.57,300,46,13882
344,43.61,100,55,19597
345,43.57,100,81,11919
346,43.53,100,52,13122
347,43.52,587,69,11522
348,43.54,100,61,5200
