DATE,country.aut.previous.usdcap,country.aut.totret,country.bel.previous.usdcap,country.bel.totret,country.che.previous.usdcap,country.che.totret,country.deu.previous.usdcap,country.deu.totret,country.dnk.previous.usdcap,country.dnk.totret,country.esp.previous.usdcap,country.esp.totret,country.fin.previous.usdcap,country.fin.totret,country.fra.previous.usdcap,country.fra.totret,country.gbr.previous.usdcap,country.gbr.totret,country.irl.previous.usdcap,country.irl.totret,country.ita.previous.usdcap,country.ita.totret,country.nld.previous.usdcap,country.nld.totret,country.nor.previous.usdcap,country.nor.totret,country.prt.previous.usdcap,country.prt.totret,country.swe.previous.usdcap,country.swe.totret
2000-02-29,13107897701.0766,-0.0510452763375714,103429858272.799,-0.0282663173409792,531753378468.144,0.00390279070595701,1100294351492.43,0.145695223744414,62835780998.3796,0.0506268620219842,278531244106.114,0.124700913855496,300194282328.685,0.0906996642315013,1132026502395.86,0.0904850365942812,2253356556184.72,0.00221336258880655,36716909929.0222,-0.057505732876524,528604745607.086,0.177676354420557,587841833304.472,0.0864269547441589,23988320560.71,0.00434798502268953,55713198266.3095,0.122017136368564,284718359800.446,0.204687672139862
2000-03-31,12240563115.1863,0.0459761096885433,98890992443.6164,0.00691000634296468,525868233540.272,0.0810987676246112,1075168961022.38,-0.00139213367666913,65110323372.1671,0.0960377531475618,308158127304.021,-0.0133733436283679,322203651475.314,0.0350393097691586,1216120565461.77,0.0147434988292238,2342914990256.51,0.0599115290428893,33998688883.173,0.114679901026409,618944200306.27,-0.0724121799522521,628998598372.215,0.0147109277651015,23750837062.959,0.0351764410911973,61514917005.0396,-0.0634324386191285,343803740273.582,-0.0509493209770879
2000-04-30,12723327353.5666,0.015383597167963,94820922003.7161,0.0143415456700754,573243518412.729,-0.00137721487656491,1070261685977.84,-0.0430462079071528,73124761784.1257,-0.023473726410947,329106383264.366,-0.0397944916858238,337644539206.344,0.0766642292444406,1257167741021.07,0.016534732008724,2572394513807.17,-0.0317565279474611,40316166355.8753,-0.0365679048009756,641423063905.72,-0.0188500959880929,640247172497.499,0.00566609638812478,22773001437.1261,0.0403734213628422,64301404932.7215,-0.0561979027933433,339378240202.349,0.0313232058255029
2000-05-31,12303088231.896,0.0318117103296612,91990368307.5336,0.040011481827399,550175464857.542,0.0437716822968692,972283653074.917,-0.0334609249464275,62419864017.8332,0.0468064776683811,302054924462.826,-0.065268033682552,347164784665.496,-0.111442160279559,1216193176282.25,0.00199791307518758,2470342969139.48,0.00990891870459019,36964227515.9307,-0.0849386365469789,593602792894.106,0.013115855596671,608445775097.831,0.00416697967453992,21765919675.3832,0.0615129449503892,57426271330.7779,-0.032379083087462,340595358447.695,-0.0358119582412594
2000-06-30,12871872120.4088,-0.013370377904635,98376010540.7855,0.0440917973020607,581409748569.216,0.00461998845410222,951729619364.517,-0.0343526456917992,66385432253.6425,-0.02639450949325,290202165956.744,-0.00948316683901718,314099234409.455,-0.0441269271592145,1255990691638.36,0.00874395099928017,2368503788727.16,-0.00156377312557865,34290701279.932,-0.0430501601963342,609513082668.416,0.0246773910124037,619182344731.463,0.0188693045801752,22975431179.3182,0.0539502676957613,55929460983.0335,0.00837442389561654,325753027951.661,-0.0399248856017982
2000-07-31,11848235815.5331,0.0444991644150604,105182658325.658,0.041164624389416,610257115576.762,0.0381444324797852,1048907015667.41,0.0280814547748896,63805079391.7742,0.0562937987317036,302179402018.897,0.00616661390228574,312215985719.394,-0.0927739980372922,1303682063116.15,0.0194394826038691,2408009862831.4,0.0101912168407951,33917792268.7495,-0.0259696588735573,656250189884.82,-0.000488793386378331,660600594371.343,-0.0106331381256134,25388782170.2989,-0.00223778956002774,54492117806.9536,0.00353266608231677,324930955552.228,0.00811525117160821
2000-08-31,11962779270.9554,0.0245619954919218,105664121165.765,0.0238533559982944,617919500641.671,0.0292929020046409,1041555542307.78,-0.00586770055531572,65177033862.4868,0.095676281885863,309081136375.601,0.0336355069786586,270679848462.225,0.0135523079040716,1282297892406.51,0.016723655782806,2353858495974.92,0.0524214215742321,31906311862.3459,0.0294066136914286,633139062346.547,0.037831532888524,632578316660.178,0.0395104724783129,24446858237.7098,0.0773157090471461,58668279929.0985,-0.0033900198630682,313847857376.734,0.0223896146493632
2000-09-30,11759474684.2008,-0.000566962901634502,103794487687.047,-0.0160010440860385,608481551049.184,-0.0537551429081089,993151469110.581,-0.062951356055745,68526332368.8737,0.00462912308825205,311305971182.99,0.00564316312337089,263113709083.838,-0.0825530405306763,1266454311480.21,-0.0594241476104197,2396039740186.48,-0.0494266748536997,31547521929.3381,0.153729771799539,630808258952.007,-0.0548668142702439,625686432426.803,-0.0330782388740195,25712150776.5079,-0.0101548564426042,52424704696.7123,-0.0112420047266746,311217984943.871,-0.108742488072597
2000-10-31,9044108993.9621,0.0139985348745014,96360814881.1536,0.0158391050296357,585789024847.415,0.0348056249385655,885097570607.95,0.0401402940019512,66443017887.216,-0.0285295556113481,305177281279.267,-0.0509004238209803,235439722224.357,0.037044238190658,1217867200409.54,0.0149647173866087,2356793542196.56,0.0233552790869514,36351133967.9148,0.0467277280522711,581475795455.306,0.0438510252407655,608496928672.438,0.0233950867747528,29465860561.5553,0.0021799688558178,50526923729.4085,-0.0697821188713018,283167002773.997,-0.0311661398446031
2000-11-30,8663144094.70526,-0.0781289774779255,93947385220.7445,-0.0418970339195568,602542656334.873,-0.00825680223704028,889786358436.12,-0.0936395729643573,62147410682.1124,-0.084214126121513,279820080549.789,-0.10408444753382,233088748792.749,-0.0208083847962506,1195848934353.92,-0.0711410718936089,2340848390961.42,-0.0402896666891618,36574964056.9584,-0.0184863731647816,581099038401.767,-0.0209516959042369,598844624160.77,-0.0399622699116604,28825846131.6165,-0.0101023054460616,44742442042.2324,-0.0364081025309354,263872296701.254,-0.0954897675676683
