1975,190.85,34.5,156.35
2000,170.3,39,131.3
2025,150.45,43.95,106.5
2050,131,49.6,81.4
2075,112.6,55.9,56.7
2100,94.85,63.15,31.7
2125,78.1,71.6,6.5
2150,62.55,80.7,-18.15
2175,48.4,91.5,-43.1
2200,35.8,104,-68.2
2225,25.1,118.15,-93.05
2250,16.6,134.5,-117.9
2275,10.2,153.15,-142.95
2300,5.95,173.45,-167.5
